Unnamed: 0,type,release_year,rating,title,cluster,duration_numeric,year,month,day,country_0,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,listed_in_0,listed_in_1,listed_in_2,listed_in_3,listed_in_4,listed_in_5,listed_in_6,listed_in_7,listed_in_8,listed_in_9
29.0,0.0,0.529411764705884,0.07692307692307693,Paranoia,1.0,0.41666666666666663,2021.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30.0,0.0,1.0,0.38461538461538464,Ankahi Kahaniya,1.0,0.4365079365079365,2021.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31.0,1.0,1.0,0.23076923076923078,Chicago Party Aunt,0.0,0.0,2021.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
32.0,1.0,0.9411764705882462,0.23076923076923078,Sex Education,0.0,0.007936507936507936,2021.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
33.0,1.0,1.0,0.23076923076923078,Squid Game,0.0,0.0,2021.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
34.0,1.0,0.9411764705882462,0.31485954318718823,Tayo and Little Wizards,0.0,0.0,2021.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
35.0,0.0,1.0,0.23076923076923078,The Father Who Moves Mountains,1.0,0.43253968253968256,2021.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
36.0,0.0,1.0,0.23076923076923078,The Stronghold,1.0,0.4126984126984127,2021.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.0,1.0,0.8235294117647101,0.31485954318718823,Angry Birds,0.0,0.0,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
38.0,0.0,0.764705882352942,0.07692307692307693,Birth of the Dragon,1.0,0.376984126984127,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
39.0,1.0,1.0,0.31485954318718823,Chhota Bheem,0.0,0.007936507936507936,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
40.0,1.0,1.0,0.31485954318718823,He-Man and the Masters of the Universe,0.0,0.0,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
41.0,0.0,0.764705882352942,0.0,Jaws,1.0,0.4880952380952381,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
42.0,0.0,0.764705882352942,0.0,Jaws 2,1.0,0.45634920634920634,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
43.0,0.0,0.764705882352942,0.0,Jaws 3,1.0,0.3849206349206349,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
44.0,0.0,0.764705882352942,0.07692307692307693,Jaws: The Revenge,1.0,0.35714285714285715,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
45.0,0.0,1.0,0.0,My Heroes Were Cowboys,0.0,0.0873015873015873,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,0.0,0.470588235294116,0.15384615384615385,Safe House,1.0,0.4523809523809524,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
47.0,1.0,0.9411764705882462,0.23076923076923078,The Smart Money Woman,0.0,0.0,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
48.0,0.0,0.764705882352942,0.15384615384615385,Training Day,1.0,0.4801587301587301,2021.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
49.0,1.0,1.0,0.23076923076923078,Castle and Castle,0.0,0.003968253968253968,2021.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
