cluster,PC1,PC2
1.0,-39.202769978102666,-126.14780154854633
0.0,-39.67421502067974,-126.12557371644985
1.0,-39.1803115792415,-126.12928184309911
0.0,-39.65532639076245,-127.11881226610602
0.0,-39.65083077133315,-127.14836867016304
1.0,-39.259690681468996,-127.13026427626237
1.0,-39.259690681468996,-127.13026427626237
1.0,-39.303730521514346,-127.13344882986094
1.0,-39.2566864186458,-127.13030497522219
0.0,-39.640553477274224,-127.12048714406183
1.0,-39.24250317726316,-127.1525819388087
1.0,-39.27652428395475,-127.16451572071838
1.0,-39.26550478749671,-127.1605726423924
1.0,-39.26770937970944,-127.16813955918494
1.0,-39.30905899569057,-127.15741888874109
1.0,-39.26802860024832,-127.13287419811395
1.0,-39.266828235745464,-127.17189109359526
1.0,-39.32356492221769,-127.13376806972036
1.0,-39.24947479281085,-127.1136202884286
0.0,-39.638863559962225,-127.11972739660376
0.0,-39.65024801608919,-127.14882048748561
0.0,-39.63072011744369,-127.135578873876
1.0,-39.20815731236981,-127.11187645806703
0.0,-39.6541670994748,-127.14500711214998
0.0,-39.66034160531112,-127.11994277643004
0.0,-39.59227877980071,-128.1172329210249
0.0,-39.625106585900255,-128.11557644937955
1.0,-38.91270882415108,-128.11599907881146
0.0,-39.642975388762856,-128.11659470754134
1.0,-39.21950845744855,-128.1108768719126
0.0,-39.638087991865675,-128.14772430074603
0.0,-39.40608658026653,-131.10778085342056
1.0,-39.019410588427846,-131.10292665637
1.0,-39.02029173239182,-131.09917512195966
1.0,-39.21141883560833,-132.10286825632025
1.0,-39.156891061386375,-132.10331696048894
0.0,-39.564596946864455,-132.10884579422466
0.0,-39.58334304499962,-132.10739198749727
1.0,-38.99302524117728,-132.1000359358463
0.0,-39.58581348706279,-132.1070512865775
1.0,-39.23311761545862,-132.10080646038088
0.0,-39.58220956057876,-132.1152792339139
1.0,-39.181442999379186,-133.09721022780508
0.0,-39.55227379243618,-133.1199357392896
1.0,-39.186361178646365,-133.10786755936914
1.0,-39.199386290809116,-133.09808869889164
0.0,-39.54813976545001,-134.1031839426615
1.0,-39.18735187232685,-134.09598515647744
1.0,-39.18350031394942,-134.11240993571886
0.0,-39.542610236327064,-134.10600457627436
